"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
51,172,172,2021,3.782548174,3,"African Region","LM",0,8.037897311,32.10227273,0,27.42759796,38.99384886,29.74934037,50,31.99052133,34.99602588,0,20.31602709,0,18.68774724
53,20,20,2017,-0.930977871,3,"Eastern Mediterranean Region","LM",0,32.15158924,1.448863636,0,6.942078365,8.040421793,28.49604222,33.02139037,15.99526066,21.04898336,57.94066318,50,0,4.169540688
53,20,20,2018,-1.006294063,3,"Eastern Mediterranean Region","LM",89.76533019,75.88630807,84.47443182,100,58.68824532,21.50702988,22.62532982,50,22.98578199,57.92513863,100,79.68397291,0,6.694864974
53,20,20,2019,0.050427496,3,"Eastern Mediterranean Region","LM",89.76533019,75.88630807,53.82102273,100,58.68824532,25.50527241,22.62532982,50,22.98578199,55.85693161,100,79.68397291,26.61654135,10.91145484
53,20,20,2020,1.013200024,3,"Eastern Mediterranean Region","LM",89.76533019,75.88630807,54.33238636,100,58.68824532,22.82513181,22.62532982,50,13.98104265,57.92513863,42.05933682,100,26.61654135,10.91145484
53,20,20,2021,2.513505982,3,"Eastern Mediterranean Region","LM",89.76533019,75.88630807,46.86079545,100,44.80408859,17.44288225,36.87335092,24.06417112,15.99526066,38.71330869,42.05933682,100,26.61654135,24.79778356
56,296,296,2017,2.196036633,3,"European Region","H",68.98584906,0,31.98863636,100,86.11584327,43.01405975,34.49868074,83.95721925,22.98578199,59.23031423,78.97033159,59.36794582,50.18796992,26.69976722
56,296,296,2018,2.413392617,3,"European Region","H",68.98584906,24.11369193,31.98863636,100,86.11584327,48.41827768,42.87598945,83.95721925,22.98578199,54.49695009,78.97033159,59.36794582,50.18796992,34.22632323
56,296,296,2019,3.176627451,3,"European Region","H",68.98584906,8.037897311,31.98863636,100,86.11584327,48.41827768,42.87598945,83.95721925,31.99052133,54.49695009,78.97033159,59.36794582,76.80451128,34.22632323
56,296,296,2020,3.889168804,3,"European Region","H",68.98584906,8.037897311,62.64204545,100,58.68824532,48.41827768,42.87598945,100,25,61.4487061,78.97033159,59.36794582,50.18796992,42.79508306
56,296,296,2021,4.183294038,3,"European Region","H",68.98584906,8.037897311,62.64204545,100,50.17035775,68.80492091,67.09656992,83.95721925,31.99052133,40.79251386,78.97033159,59.36794582,76.80451128,46.7109986
58,434,434,2017,3.55425764,3,"European Region","H",72.37146226,91.96210269,54.33238636,100,63.71379898,52.43848858,72.62532982,75,40.99526066,32.3590573,100,79.68397291,63.30827068,41.0262872
