"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
107,145,2020,5.875544545,2,"Eastern Mediterranean Region","H",20.77948113,24.11369193,68.94886364,0,29.34412266,28.22934974,61.89234828,16.04278075,20.97156398,28.18881701,57.94066318,50,26.61654135,31.44790394
107,145,2021,6.068141874,2,"Eastern Mediterranean Region","H",31.01415094,24.11369193,68.94886364,0,29.34412266,28.22934974,61.89234828,33.02139037,20.97156398,44.16617375,57.94066318,50,53.60902256,33.44218079
165,152,2017,5.811300921,2,"Western Pacific Region","H",65.50707547,100,99.74431818,75.52664188,100,43.01405975,53.49604222,41.04278075,56.99052133,85.32190388,100,59.36794582,63.30827068,65.84536729
165,152,2018,6.374919089,2,"Western Pacific Region","H",65.50707547,100,99.74431818,75.52664188,77.59795571,48.41827768,53.49604222,41.04278075,34.47867299,85.32190388,100,59.36794582,63.30827068,64.33039033
165,152,2019,6.798829187,2,"Western Pacific Region","H",65.50707547,100,99.74431818,75.52664188,77.59795571,48.41827768,48.74670185,41.04278075,34.47867299,86.09593346,100,79.68397291,63.30827068,64.33039033
165,152,2020,7.298425055,2,"Western Pacific Region","H",65.50707547,100,99.74431818,75.52664188,77.59795571,48.41827768,65.04643799,41.04278075,34.47867299,86.09593346,100,79.68397291,63.30827068,66.93009079
165,152,2021,7.310859093,2,"Western Pacific Region","H",65.50707547,100,99.74431818,75.52664188,77.59795571,48.41827768,57.92242744,58.02139037,34.47867299,86.09593346,100,79.68397291,63.30827068,58.85021368
447,156,2017,6.640085601,2,"European Region","H",0,0,0,0,6.942078365,47.36379613,27.37467018,41.97860963,40.99526066,20.84131238,0,0,0,12.33870968
447,156,2018,7.911405096,2,"European Region","H",0,0,1.193181818,0,79.17376491,36.59929701,35.75197889,25,12.5,64.81025878,0,0,0,24.76386186
447,156,2019,8.895002051,2,"European Region","H",0,0,1.193181818,0,79.17376491,36.59929701,50,25,12.5,59.35739372,0,0,0,27.22402239
447,156,2020,12.34845987,2,"European Region","H",0,0,1.193181818,0,79.17376491,13.48857645,50,25,12.5,10.74371534,0,0,0,11.46313364
447,156,2021,11.61440885,2,"European Region","H",0,0,1.193181818,0,29.34412266,13.48857645,57.12401055,25,12.5,6.446118299,0,0,26.61654135,11.10983103
175,165,2017,4.309137364,2,"African Region","LM",10.23466981,8.037897311,32.10227273,0,34.36967632,35.21528998,27.37467018,50,12.5,42.12347505,0,29.68397291,100,10.87500261
